Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
LOGITECH MK120 DESKTOP KB+MSE,47241,code128,G1,G1,pc,pc,1,13.99,29.99,1,HST,exclusive,no_image.png,,,,,,,,
SERVICE ID 6335 : HOD NOT DETECTED,48398,code128,G1,G1,pc,pc,1,70,149.99,1,HST,exclusive,no_image.png,,,,,,,,
"MEM-DESK-DDR3-REF-4G DDR3 Desktop 4GB Memory, Pulled",48397,code128,G1,G1,pc,pc,1,28,49.99,1,HST,exclusive,no_image.png,,,,,,,,
Cat5e Network Cable 6FT- White,48396,code128,G1,G1,pc,pc,1,0.99,6.99,1,HST,exclusive,no_image.png,,,,,,,,
"LCD SCREEN 14"" 40PIN",48395,code128,G1,G1,pc,pc,1,65,149.99,1,HST,exclusive,no_image.png,,,,,,,,
A1466 TRACKPAD MID 2012,48394,code128,G1,G1,pc,pc,1,55,150,1,HST,exclusive,no_image.png,,,,,,,,
SERVICE ID 6312 : WATER DAMAGE,48393,code128,G1,G1,pc,pc,1,80,159.99,1,HST,exclusive,no_image.png,,,,,,,,
HP DV 2000  LAPTOP ,48392,code128,G1,G1,pc,pc,1,20,149,1,HST,exclusive,no_image.png,,,,,,,,
CANON CL 241 ORIGINAL ,48390,code128,G1,G1,pc,pc,1,29.4,34.5,1,HST,exclusive,no_image.png,,,,,,,,
SERVICE ID 6332: Samsung S4 Screen Replacement,48389,code128,G1,G1,pc,pc,1,40,80,1,HST,exclusive,no_image.png,,,,,,,,
SERVICE ID : 6320 NO POWER ,48388,code128,G1,G1,pc,pc,1,80,159.99,1,HST,exclusive,no_image.png,,,,,,,,
SERVICE ID : 6321 NO POWER,48387,code128,G1,G1,pc,pc,1,60,129.99,1,HST,exclusive,no_image.png,,,,,,,,
"SSD-MZ-75E1T0B/AM SAMSUNG 850 EVO 1TB 2.5"" SATA-III SSD",48386,code128,G1,G1,pc,pc,1,349,599.99,1,HST,exclusive,no_image.png,,,,,,,,
SSD-WDS250G2B0A WD BLUE 250GB 3D NANO SATA SSD,48385,code128,G1,G1,pc,pc,1,93,169.99,1,HST,exclusive,no_image.png,,,,,,,,
SSD-WDS500G2B0A WD BLUE 500GB 3D NANO SATA SSD,48384,code128,G1,G1,pc,pc,1,160,299.99,1,HST,exclusive,no_image.png,,,,,,,,
POWER-W0441N TT 600WATX NON-MODULAR (BULK) BLACK,48383,code128,G1,G1,pc,pc,1,43,89.99,1,HST,exclusive,no_image.png,,,,,,,,
"DDR2 SODIMM laptop 2G Memory, Pulled, 30 days warranty",48382,code128,G1,G1,pc,pc,1,12,29.99,1,HST,exclusive,no_image.png,,,,,,,,
"Targus 90W AC Adapter w/ 5 tips. APA70US, open box w/60 days warranty",48381,code128,G1,G1,pc,pc,1,9.88,24.99,1,HST,exclusive,no_image.png,,,,,,,,
Macbook A1502 Assembly 2015,48380,code128,G1,G1,pc,pc,1,425,729.99,1,HST,exclusive,no_image.png,,,,,,,,
