Name,Code
PPL (Feed Division),PC-1
Paragon Feed Ltd. (UFL) ,PC-2
Chittagong Feed Ltd.,PC-3
Jessore Feed Ltd. ,PC-4
"JFL Décor
 Footware",PC-5
Paragon Poultry Ltd. (Hatchery) ,PC-6
PPL (Horticulture Project) ,PC-7
Dairy Farm,PC-8
"PPL (Commercial), Haluaghat ",PC-9
Bistro Central,PC-10
Fresh Mart,PC-11
Aqua Breeders Ltd,PC-12
Chittagong Chicks Ltd. ,PC-13
Denm Poultry Complex,PC-14
PPL (Sagordighi),PC-15
PPL (Layer),PC-16
PAL (GP),PC-17
Usha Poultry Ltd,PC-18
PAL (CF),PC-19
Paragon Agro Ltd. (CF),PC-20
Rangpur Poultry Ltd.,PC-21
Rangpur Poultry Ltd. (Feed Division),PC-22
Paragon Poultry Ltd. (Chamiadi Project) ,PC-23
Poultry Care Lab ,PC-24
JFL (Fish Hatchery),PC-25
MPC,PC-26
PPFL,PC-27
PCR Lab,PC-28
Tea Estate,PC-29
PEL,PC-30
"Paragnn
 House",PC-31
