Name,Code
Postpaid,Package-1
Postpaid(2 GB),Package-2
Prepaid,Package-3
Postpaid(500 MB),Package-4
"Postpaid(300 MB, 3G)",Package-5
Postpaid(Pay as you go),Package-6
Postpaid(5 GB),Package-7
Postpaid(3 GB),Package-8
Postpaid(3 GB (M.P)),Package-9
Postpaid( 2GB),Package-10
Postpaid(3 GB ),Package-11
Postpaid(Data use),Package-12
Postpaid(1.5 GB),Package-13
Postpaid(Data),Package-14
Postpaid(4 GB),Package-15
Postpaid(1 (GB)),Package-16
Postpaid(8 GB ROBI Ace postpaid ),Package-17
Postpaid(1 GB),Package-18
Postpaid(7GB),Package-19
Postpaid(Data ),Package-20
Postpaid(HS 250 EB),Package-21
